,house_type,price,address,square,object_type,latitude,longitude,year_of_construction,building_type,rooms,sauna
664,"Kerrostalo, 1997",830,"Nassakkakuja 4, Matinkylä, Espoo",39.5,2H+KT+S,60.15862805,24.730711694342126,1997.0,Kerrostalo,2,False
665,"Kerrostalo, 2021",795,"Niittykatu 15, Niittykumpu, Espoo",27.5,1H+KT,60.16719015,24.758014342800305,2021.0,Kerrostalo,1,False
666,"Kerrostalo, 2012",860,"Lotankatu 1, Painiitty, Espoo",51.5,2h+kt,60.235279,24.8319962,2012.0,Kerrostalo,2,False
667,Kerrostalo,628,"Aallonhuippu 4, Espoonlahti, Espoo",14.0,1yhteisk+Omahuone+jaettu kph,60.15103405,24.637746940553647,,Kerrostalo,1,True
668,"Kerrostalo, 2021",720,"Peuraniitty 1 E, Sepänkylä, Espoo",30.5,1h+kt,60.204458,24.7380923,2021.0,Kerrostalo,1,False
669,"Kerrostalo, 2011",1030,"Piilipuuntie 21 C, Suurpelto, Espoo",55.5,3h+kk+s,60.1858108,24.7397412,2011.0,Kerrostalo,3,True
670,"Kerrostalo, 1991",939,"Asemakuja 3, Espoon keskus, Espoo",60.5,2H+K,60.2051065,24.6604885,1991.0,Kerrostalo,2,False
671,"Kerrostalo, 1998",968,"Kala-Maija 3, Matinkylä, Espoo",46.0,2H+KK+S,60.1593647,24.739540270731567,1998.0,Kerrostalo,2,False
672,"Kerrostalo, 2021",800,"Metsänpojankuja 5 B, Pohjois-Tapiola, Espoo",27.5,1h+kt,60.1855942,24.805154,2021.0,Kerrostalo,1,False
673,Kerrostalo,2463,"Aallonhuippu 8, Espoonlahti, Espoo",97.0,4h+k+kph+2wc+p,60.1519205,24.638477550732745,,Kerrostalo,4,False
674,"Kerrostalo, 1998",1099,"Ruotutorppa 8 B, Kilo, Espoo",72.0,3h+kk+s,60.2175174,24.7751946,1998.0,Kerrostalo,3,True
675,"Kerrostalo, 1974",898,"Kuunsäde 10 A, OLARI, Espoo",61.0,"2h, k, vh, kph, parveke",60.1743356,24.7237819,1974.0,Kerrostalo,2,False
676,"Kerrostalo, 2015",860,"Matinpuronkuja 2 F, Matinkylä, Espoo",47.5,2h+kk,60.16218655,24.754404488593224,2015.0,Kerrostalo,2,False
677,"Kerrostalo, 2018",940,"Perilänniitty 2, Vermonniitty, Espoo",49.5,2h+kt+s,60.2165225,24.83287010199864,2018.0,Kerrostalo,2,True
678,"Kerrostalo, 2018",780,"Suurpellon puistokatu 12, Suurpelto, Espoo",36.0,1H+KT,60.18615285,24.74278024178633,2018.0,Kerrostalo,1,False
679,"Kerrostalo, 2021",905,"Kaarlo Sarkian katu 1 C, Vermonniitty, Espoo",43.0,2h+kt,60.2150821,24.8341062,2021.0,Kerrostalo,2,False
680,"Kerrostalo, 2021",1020,"Kaarlo Sarkian katu 1 C, Vermonniitty, Espoo",54.0,2h+kt+alk,60.2150821,24.8341062,2021.0,Kerrostalo,2,False
681,"Kerrostalo, 2021",735,"Kaarlo Sarkian katu 1 C, Vermonniitty, Espoo",29.0,1h+kt,60.2150821,24.8341062,2021.0,Kerrostalo,1,False
683,"Kerrostalo, 2018",777,"Reelinkikatu 2, Saunalahti, Espoo",38.5,1H+KT,60.1682105,24.6193641,2018.0,Kerrostalo,1,False
684,"Kerrostalo, 1973",1048,"Jälkimaininki 4, Kivenlahti, Espoo",72.0,3H+K,60.1541006,24.64464814081865,1973.0,Kerrostalo,3,False
685,"Kerrostalo, 1991",935,"Asemakuja 3, Espoon keskus, Espoo",59.0,2H+K,60.2051065,24.6604885,1991.0,Kerrostalo,2,False
686,"Kerrostalo, 2000",795,"Suvelantie 18, Tuomarila, Espoo",49.0,2h+kk+s,60.2041825,24.674866834006583,2000.0,Kerrostalo,2,True
687,"Kerrostalo, 2021",740,"Kaarlo Sarkian katu 1 C, Vermonniitty, Espoo",29.0,1h+kt,60.2150821,24.8341062,2021.0,Kerrostalo,1,False
688,"Kerrostalo, 2012",885,"Piilipuuntie 1 D, Suurpelto, Espoo",52.0,2h+kk+alk,60.18456155,24.74218715302288,2012.0,Kerrostalo,2,False
689,"Kerrostalo, 1999",859,"Tuomarilankatu 5, Tuomarila, Espoo",47.0,1H+TK+S,60.20449675,24.681096287491567,1999.0,Kerrostalo,1,False
690,"Kerrostalo, 2015",942,"Ulappakatu 1 G, Espoonlahti, Espoo",50.0,2h+kt+s,60.1513356,24.6554646,2015.0,Kerrostalo,2,True
691,"Kerrostalo, 2022",810,"Laidunmaanraitti 4, Nöykkiö, Espoo",32.5,2h+kt+p,60.17078255,24.66860299243225,2022.0,Kerrostalo,2,False
692,"Kerrostalo, 2022",895,"Runoratsunkatu 17, Vermonniitty, Espoo",41.5,1H+KT,60.21434045,24.82954513843764,2022.0,Kerrostalo,1,False
693,Kerrostalo,630,"Soukanahde 8 A, Soukka, Espoo",36.5,1h + avok,60.14077345,24.67576380551017,,Kerrostalo,1,False
694,"Kerrostalo, 2013",860,"Piilipuuntie 3 C-E, Suurpelto, Espoo",51.0,2H+K,60.1858108,24.7397412,2013.0,Kerrostalo,2,False
696,"Kerrostalo, 1974",1348,"Kirstinharju 23, Suvela, Espoo",92.0,4H+K,60.2060519,24.67247958633972,1974.0,Kerrostalo,4,False
697,"Kerrostalo, 2007",1015,"Markkinakatu 2, Matinkylä, Espoo",52.5,2h+kk+s+parveke,60.16058125,24.736925934166003,2007.0,Kerrostalo,2,True
698,"Kerrostalo, 2016",904,"Maakirjantie 1, Suurpelto, Espoo",42.5,2h+kt,60.1844025,24.7433777,2016.0,Kerrostalo,2,False
699,"Kerrostalo, 2011",733,"Piilipuuntie 11, Suurpelto, Espoo",36.5,1H+KT,60.1865831,24.741180502820328,2011.0,Kerrostalo,1,False
700,"Kerrostalo, 1996",855,"Postipuuntie 10, Leppävaara, Espoo",50.5,2H+KK+S,60.222205,24.82194200170065,1996.0,Kerrostalo,2,False
701,"Kerrostalo, 2007",1010,"Markkinakatu 2, Matinkylä, Espoo",52.5,2H+KK+S,60.16058125,24.736925934166003,2007.0,Kerrostalo,2,False
702,"Kerrostalo, 1976",880,"Kirstintie 30, Suvela, Espoo",63.0,2H+K,60.2054793,24.672989876694857,1976.0,Kerrostalo,2,False
703,"Kerrostalo, 2022",848,"Runoratsunkatu 17, Vermonniitty, Espoo",39.5,1H+KT,60.21434045,24.82954513843764,2022.0,Kerrostalo,1,False
704,"Kerrostalo, 2022",838,"Runoratsunkatu 17, Vermonniitty, Espoo",39.0,1H+KT,60.21434045,24.82954513843764,2022.0,Kerrostalo,1,False
705,"Kerrostalo, 2022",868,"Runoratsunkatu 17, Vermonniitty, Espoo",40.5,1H+KT,60.21434045,24.82954513843764,2022.0,Kerrostalo,1,False
706,"Kerrostalo, 1974",1788,"Ristiaallokonkatu 4, Espoonlahti, Espoo",80.0,3h+k+kph+2wc,60.1538333,24.6427821,1974.0,Kerrostalo,3,False
708,"Kerrostalo, 2014",2111,"Nikkarinkuja 5, Leppävaara, Espoo",45.0,2h+k+kph,60.22259875,24.816280260905344,2014.0,Kerrostalo,2,False
709,"Kerrostalo, 2022",895,"Runoratsunkatu 17, Vermonniitty, Espoo",39.5,2H+KT,60.21434045,24.82954513843764,2022.0,Kerrostalo,2,False
710,"Kerrostalo, 2023",705,"Peijinkatu 6 A, Finnoo, Espoo",27.0,1H+KT+ranskalainen parveke,60.1536621,24.7037746,2023.0,Kerrostalo,1,True
711,"Kerrostalo, 2023",733,"Peijinkatu 6 C, Finnoo, Espoo",28.5,1H+KT+lasitettu parveke,60.1536621,24.7037746,2023.0,Kerrostalo,1,True
712,"Kerrostalo, 2023",853,"Peijinkatu 6 C, Finnoo, Espoo",41.0,2H+KT+lasitettu parveke,60.1536621,24.7037746,2023.0,Kerrostalo,2,True
713,"Kerrostalo, 2023",1080,"Peijinkatu 6 A, Finnoo, Espoo",58.0,3H+KT+lasitettu parveke,60.1536621,24.7037746,2023.0,Kerrostalo,3,True
714,"Kerrostalo, 2023",1075,"Peijinkatu 6 C, Finnoo, Espoo",58.0,3H+KT+lasitettu parveke,60.1536621,24.7037746,2023.0,Kerrostalo,3,True
715,"Kerrostalo, 2023",1066,"Peijinkatu 6 B, Finnoo, Espoo",56.5,3H+KT+lasitettu parveke,60.1536621,24.7037746,2023.0,Kerrostalo,3,True
716,"Kerrostalo, 2023",1106,"Peijinkatu 6 C, Finnoo, Espoo",59.5,3H+KT+lasitettu parveke,60.1536621,24.7037746,2023.0,Kerrostalo,3,True
717,"Kerrostalo, 2023",1087,"Peijinkatu 6 A, Finnoo, Espoo",59.5,3H+KT+lasitettu parveke,60.1536621,24.7037746,2023.0,Kerrostalo,3,True
718,"Kerrostalo, 2023",712,"Peijinkatu 6 C, Finnoo, Espoo",28.5,1H+KT+ranskalainen parveke,60.1536621,24.7037746,2023.0,Kerrostalo,1,True
719,"Kerrostalo, 2023",1062,"Peijinkatu 6 C, Finnoo, Espoo",55.5,3H+KT+lasitettu parveke,60.1536621,24.7037746,2023.0,Kerrostalo,3,True
720,"Kerrostalo, 2023",1102,"Peijinkatu 6 C, Finnoo, Espoo",59.5,3H+KT+lasitettu parveke,60.1536621,24.7037746,2023.0,Kerrostalo,3,True
721,"Kerrostalo, 2023",705,"Peijinkatu 6 C, Finnoo, Espoo",27.0,1H+KT+ranskalainen parveke,60.1536621,24.7037746,2023.0,Kerrostalo,1,True
722,"Kerrostalo, 2023",1094,"Peijinkatu 6 C, Finnoo, Espoo",58.0,3H+KT+lasitettu parveke,60.1536621,24.7037746,2023.0,Kerrostalo,3,True
723,"Kerrostalo, 2023",717,"Peijinkatu 6 A, Finnoo, Espoo",28.5,1H+KT+lasitettu parveke,60.1536621,24.7037746,2023.0,Kerrostalo,1,True
724,"Kerrostalo, 2023",1097,"Peijinkatu 6 C, Finnoo, Espoo",59.5,3H+KT+lasitettu parveke,60.1536621,24.7037746,2023.0,Kerrostalo,3,True
725,"Kerrostalo, 2023",703,"Peijinkatu 6 C, Finnoo, Espoo",28.5,1H+KT+ranskalainen parveke,60.1536621,24.7037746,2023.0,Kerrostalo,1,True
726,"Kerrostalo, 2023",1071,"Peijinkatu 6 C, Finnoo, Espoo",56.5,3H+KT+lasitettu parveke,60.1536621,24.7037746,2023.0,Kerrostalo,3,True
727,"Kerrostalo, 2023",1094,"Peijinkatu 6 A, Finnoo, Espoo",58.0,3H+KT+lasitettu parveke,60.1536621,24.7037746,2023.0,Kerrostalo,3,True
728,"Kerrostalo, 2023",848,"Peijinkatu 6 C, Finnoo, Espoo",41.0,2H+KT+lasitettu parveke,60.1536621,24.7037746,2023.0,Kerrostalo,2,True
729,"Kerrostalo, 2023",1084,"Peijinkatu 6 C, Finnoo, Espoo",58.0,3H+KT+lasitettu parveke,60.1536621,24.7037746,2023.0,Kerrostalo,3,True
730,"Kerrostalo, 2023",1125,"Peijinkatu 6 B, Finnoo, Espoo",60.5,3H+KT+lasitettu parveke,60.1536621,24.7037746,2023.0,Kerrostalo,3,True
731,"Kerrostalo, 2023",1099,"Peijinkatu 6 C, Finnoo, Espoo",58.0,3H+KT+lasitettu parveke,60.1536621,24.7037746,2023.0,Kerrostalo,3,True
732,"Kerrostalo, 2023",1067,"Peijinkatu 6 C, Finnoo, Espoo",55.5,3H+KT+lasitettu parveke,60.1536621,24.7037746,2023.0,Kerrostalo,3,True
733,"Kerrostalo, 2023",1013,"Peijinkatu 6 B, Finnoo, Espoo",53.0,3H+KT+lasitettu parveke,60.1536621,24.7037746,2023.0,Kerrostalo,3,True
734,"Kerrostalo, 2023",1115,"Peijinkatu 6 B, Finnoo, Espoo",60.5,3H+KT+lasitettu parveke,60.1536621,24.7037746,2023.0,Kerrostalo,3,True
735,"Kerrostalo, 2023",1017,"Peijinkatu 6 B, Finnoo, Espoo",53.0,3H+KT+lasitettu parveke,60.1536621,24.7037746,2023.0,Kerrostalo,3,True
736,"Kerrostalo, 2023",1087,"Peijinkatu 6 C, Finnoo, Espoo",59.5,3H+KT+lasitettu parveke,60.1536621,24.7037746,2023.0,Kerrostalo,3,True
737,"Kerrostalo, 2023",1053,"Peijinkatu 6 C, Finnoo, Espoo",55.5,3H+KT+lasitettu parveke,60.1536621,24.7037746,2023.0,Kerrostalo,3,True
738,"Kerrostalo, 2023",1080,"Peijinkatu 6 C, Finnoo, Espoo",58.0,3H+KT+lasitettu parveke,60.1536621,24.7037746,2023.0,Kerrostalo,3,True
739,"Kerrostalo, 2023",1058,"Peijinkatu 6 C, Finnoo, Espoo",55.5,3H+KT+lasitettu parveke,60.1536621,24.7037746,2023.0,Kerrostalo,3,True
740,"Kerrostalo, 2023",882,"Peijinkatu 6 B, Finnoo, Espoo",44.5,2H+KT+lasitettu parveke,60.1536621,24.7037746,2023.0,Kerrostalo,2,True
741,"Kerrostalo, 2023",703,"Peijinkatu 6 A, Finnoo, Espoo",28.5,1H+KT+lasitettu parveke,60.1536621,24.7037746,2023.0,Kerrostalo,1,True
742,"Kerrostalo, 2023",703,"Peijinkatu 6 A, Finnoo, Espoo",28.5,1H+KT+ranskalainen parveke,60.1536621,24.7037746,2023.0,Kerrostalo,1,True
743,"Kerrostalo, 2023",1102,"Peijinkatu 6 A, Finnoo, Espoo",59.5,3H+KT+lasitettu parveke,60.1536621,24.7037746,2023.0,Kerrostalo,3,True
744,"Kerrostalo, 2023",1097,"Peijinkatu 6 A, Finnoo, Espoo",59.5,3H+KT+lasitettu parveke,60.1536621,24.7037746,2023.0,Kerrostalo,3,True
745,"Kerrostalo, 2023",722,"Peijinkatu 6 A, Finnoo, Espoo",28.5,1H+KT+lasitettu parveke,60.1536621,24.7037746,2023.0,Kerrostalo,1,True
746,"Kerrostalo, 2023",1105,"Peijinkatu 6 B, Finnoo, Espoo",60.5,3H+KT+lasitettu parveke,60.1536621,24.7037746,2023.0,Kerrostalo,3,True
747,"Kerrostalo, 2023",712,"Peijinkatu 6 A, Finnoo, Espoo",28.5,1H+KT+ranskalainen parveke,60.1536621,24.7037746,2023.0,Kerrostalo,1,True
748,"Kerrostalo, 2023",868,"Peijinkatu 6 B, Finnoo, Espoo",44.5,2H+KT+lasitettu parveke,60.1536621,24.7037746,2023.0,Kerrostalo,2,True
749,"Kerrostalo, 2023",1061,"Peijinkatu 6 B, Finnoo, Espoo",56.5,3H+KT+lasitettu parveke,60.1536621,24.7037746,2023.0,Kerrostalo,3,True
750,"Kerrostalo, 2023",872,"Peijinkatu 6 B, Finnoo, Espoo",44.5,2H+KT+lasitettu parveke,60.1536621,24.7037746,2023.0,Kerrostalo,2,True
751,"Kerrostalo, 2023",1066,"Peijinkatu 6 C, Finnoo, Espoo",56.5,3H+KT+lasitettu parveke,60.1536621,24.7037746,2023.0,Kerrostalo,3,True
752,"Kerrostalo, 2023",877,"Peijinkatu 6 B, Finnoo, Espoo",44.5,2H+KT+lasitettu parveke,60.1536621,24.7037746,2023.0,Kerrostalo,2,True
753,"Kerrostalo, 2023",1071,"Peijinkatu 6 B, Finnoo, Espoo",56.5,3H+KT+lasitettu parveke,60.1536621,24.7037746,2023.0,Kerrostalo,3,True
754,"Kerrostalo, 2023",887,"Peijinkatu 6 B, Finnoo, Espoo",44.5,2H+KT+lasitettu parveke,60.1536621,24.7037746,2023.0,Kerrostalo,2,True
755,"Kerrostalo, 2023",1061,"Peijinkatu 6 C, Finnoo, Espoo",56.5,3H+KT+lasitettu parveke,60.1536621,24.7037746,2023.0,Kerrostalo,3,True
756,"Kerrostalo, 2023",722,"Peijinkatu 6, Finnoo, Espoo",29.0,1H+KT+lasitettu parveke,60.1538337,24.702271,2023.0,Kerrostalo,1,True
757,"Kerrostalo, 2023",1076,"Peijinkatu 6 C, Finnoo, Espoo",56.5,3H+KT+lasitettu parveke,60.1536621,24.7037746,2023.0,Kerrostalo,3,True
758,"Kerrostalo, 2023",1048,"Peijinkatu 6 C, Finnoo, Espoo",55.5,3H+KT+lasitettu parveke,60.1536621,24.7037746,2023.0,Kerrostalo,3,True
759,"Kerrostalo, 2004",795,"Myötätuulenmäki 3, Saunalahti, Espoo",41.5,2h + kk + s + p,60.16297745,24.614566326490586,2004.0,Kerrostalo,2,True
763,"Kerrostalo, 2017",1025,"Pellaksenmäentie 13 D, Järvenperä, Espoo",56.0,3h+k+kph,60.2292921,24.6920458,2017.0,Kerrostalo,3,False
764,"Kerrostalo, 2012",965,"Adjutantinkatu 3 B, Mäkkylä, Espoo",52.0,2h+kk+s,60.2219895,24.8325206,2012.0,Kerrostalo,2,True
765,"Kerrostalo, 1998",856,"PUISTOPIHA 2 C, Kilo, Espoo",52.0,2H+K,60.216193,24.7885977,1998.0,Kerrostalo,2,False
766,"Kerrostalo, 1966",909,"Kiiskenevä 2 C, Haukilahti, Espoo",48.0,2h+kk,60.1645691,24.7761501,1966.0,Kerrostalo,2,False
767,Kerrostalo,1109,"Porarinkatu 3, Leppävaara, Espoo",33.0,1h+k+kph+wc,60.2253557,24.8203775,,Kerrostalo,1,False
769,"Kerrostalo, 1973",1138,"Kivenlahdenkatu 5, Kivenlahti, Espoo",85.0,3H+K,60.1528359,24.634397,1973.0,Kerrostalo,3,False
770,"Kerrostalo, 2022",858,"Runoratsunkatu 17, Vermonniitty, Espoo",40.0,1H+KT,60.21434045,24.82954513843764,2022.0,Kerrostalo,1,False
771,"Kerrostalo, 2022",899,"Kirstinmäki 6 B, Suvela, Espoo",43.5,2H+KT+lasitettu parveke,60.2019535,24.665795,2022.0,Kerrostalo,2,True
772,"Kerrostalo, 2012",868,"Piilipuuntie 31, Suurpelto, Espoo",45.5,2H+KK,60.189452,24.7381062,2012.0,Kerrostalo,2,False
773,"Luhtitalo, 2015",685,"Kuurinkallio 13 C, Kuurinniitty, Espoo",30.0,"1h, avokeittiö, kph, ransk.parveke",60.197608,24.7034536,2015.0,Luhtitalo,1,True
774,"Kerrostalo, 1995",880,"KALAONNENTIE 3 C, Tiistilä, Espoo",46.0,2H+KK+S,60.15634475,24.727949161977094,1995.0,Kerrostalo,2,False
776,"Kerrostalo, 2022",900,"Runoratsunkatu 17, Vermonniitty, Espoo",39.5,2H+KT,60.21434045,24.82954513843764,2022.0,Kerrostalo,2,False
777,"Kerrostalo, 1997",830,"Nassakkakuja 4, Matinkylä, Espoo",39.5,2H+KT+S,60.15862805,24.730711694342126,1997.0,Kerrostalo,2,False
778,"Kerrostalo, 2010",780,"Malmiportti 4 B, Niittykumpu, Espoo",40.5,1h+tpk,60.1695754,24.7819259,2010.0,Kerrostalo,1,False
779,Kerrostalo,599,"Gransinmäki 8, Espoo",15.5,1h + avok + kalusteet + palvelut,60.22148815,24.80311368397553,,Kerrostalo,1,True
780,Kerrostalo,725,"Espoonlahdenkatu 4 A, Espoonlahti, Espoo",27.0,1h+kt+ tilava lasitettu parveke,60.1485116,24.657676843553297,,Kerrostalo,1,True
781,"Kerrostalo, 1972",1163,"Kivimiehentie 2, Otaniemi, Espoo",37.0,1h+kk+kph+wc,60.1792057,24.8279028,1972.0,Kerrostalo,1,False
782,Kerrostalo,750,"Gransinmäki 8, Espoo",19.5,1h + avok + kalusteet + palvelut,60.22148815,24.80311368397553,,Kerrostalo,1,True
783,Kerrostalo,890,"Gransinmäki 8, Espoo",30.0,1h + avok + kalusteet + palvelut,60.22148815,24.80311368397553,,Kerrostalo,1,True
784,"Kerrostalo, 2016",1005,"LIKUSTERIKATU 1 C, Suurpelto, Espoo",50.0,2 H + KT + S,60.1914676,24.7401735,2016.0,Kerrostalo,2,False
785,"Kerrostalo, 2022",870,"Runoratsunkatu 17, Vermonniitty, Espoo",40.0,1H+KT,60.21434045,24.82954513843764,2022.0,Kerrostalo,1,False
786,"Kerrostalo, 2019",620,"Paapuuri 4 B, Saunalahti, Espoo",31.0,1h+tupak.,60.1641937,24.6227914,2019.0,Kerrostalo,1,False
787,"Kerrostalo, 2019",730,"Runoratsunkatu 3, Perkkaa, Espoo",28.5,"1h, kt, kh, ranskalainen parveke",60.21464305000001,24.82691637709232,2019.0,Kerrostalo,1,True
788,"Kerrostalo, 2019",883,"Koivu-Mankkaan tie 1, Tapiola, Espoo",33.0,1H+KT,60.1747538,24.7808189,2019.0,Kerrostalo,1,False
789,"Kerrostalo, 2001",1168,"Leirikaari 24, Leppävaara, Espoo",64.5,3H+KK,60.21067025,24.80765360347928,2001.0,Kerrostalo,3,False
790,"Kerrostalo, 2012",880,"Piilipuuntie 1 C, Suurpelto, Espoo",52.0,2h+kk,60.184643,24.74152195414917,2012.0,Kerrostalo,2,False
791,"Kerrostalo, 2015",933,"Etuniementie 1 F-G, Matinkylä, Espoo",48.0,2h+kt,60.1601213,24.7232951,2015.0,Kerrostalo,2,False
792,"Kerrostalo, 2011",850,"Piilipuuntie 21 B, Suurpelto, Espoo",45.5,2h+kk+s,60.1858108,24.7397412,2011.0,Kerrostalo,2,True
793,"Kerrostalo, 2011",990,"Piilipuuntie 21 D, Suurpelto, Espoo",56.0,2-3h+kk+s,60.1858108,24.7397412,2011.0,Kerrostalo,2,True
794,"Kerrostalo, 1973",1048,"Jälkimaininki 4, Kivenlahti, Espoo",72.0,3H+K,60.1541006,24.64464814081865,1973.0,Kerrostalo,3,False
795,"Kerrostalo, 2021",900,"Kaarlo Sarkian katu 1 D, Vermonniitty, Espoo",41.0,2h+kt,60.2150821,24.8341062,2021.0,Kerrostalo,2,False
796,"Kerrostalo, 2020",854,"Niittykatu 10 D, Niittykumpu, Espoo",36.0,2h+kt,60.1680961,24.7597099,2020.0,Kerrostalo,2,False
797,"Kerrostalo, 1997",1198,"Nassakkakuja 4, Matinkylä, Espoo",65.5,3H+KT+S,60.15862805,24.730711694342126,1997.0,Kerrostalo,3,False
798,"Kerrostalo, 1971",1099,"Soukankaari 11 H, Soukka, Espoo",80.0,3h+k,60.1406215,24.6726976,1971.0,Kerrostalo,3,False
799,"Kerrostalo, 1992",1125,"Espoonaukio 7 D 51, Espoon keskus, Espoo",74.0,3 h + k + s + p,60.2063271,24.6592761,1992.0,Kerrostalo,3,True
800,"Kerrostalo, 2020",919,"Uuno Kailaan katu 6, Vermonniitty, Espoo",45.0,2H+KT,60.21290685,24.8318242542036,2020.0,Kerrostalo,2,False
801,"Rivitalo, 2022",699,"Vesirattaantie 6, Karhusuo, Espoo",70.5,3h + k + s,60.22498335,24.665459518557554,2022.0,Rivitalo,3,True
802,"Kerrostalo, 2003",898,"Rauhalanpuisto 4, Matinkylä, Espoo",42.0,2H+KT,60.16416340000001,24.745037183629204,2003.0,Kerrostalo,2,False
803,"Kerrostalo, 2019",1460,"Suviniitynkatu 1, Espoon Keskus, Espoo",86.5,3h+kt,60.2051798,24.6658533,2019.0,Kerrostalo,3,False
804,"Kerrostalo, 1978",1069,"Tietäjäntie 11 C, Tapiola, Espoo",58.0,2h+k,60.1870389,24.8035717,1978.0,Kerrostalo,2,False
805,"Kerrostalo, 1985",1420,"Vallikatu 2, Leppävaara, Espoo",30.0,1h+kk+kph+s+p,60.2286965,24.8140149,1985.0,Kerrostalo,1,True
806,"Kerrostalo, 2011",845,"Asemakuja 1, Espoon keskus, Espoo",42.5,2H+KK,60.20443285,24.65972513135152,2011.0,Kerrostalo,2,False
807,"Kerrostalo, 2014",935,"Nihtitorpankuja 3, Kilo, Espoo",49.5,2H+KT,60.20889155,24.75530590941436,2014.0,Kerrostalo,2,False
808,"Kerrostalo, 2020",919,"Uuno Kailaan katu 6, Vermonniitty, Espoo",45.0,2H+KT,60.21290685,24.8318242542036,2020.0,Kerrostalo,2,False
809,"Kerrostalo, 1995",879,"Porarinkatu 8 A, Leppävaara, Espoo",43.5,2h+kk+s,60.22461795,24.817238068963626,1995.0,Kerrostalo,2,True
810,"Kerrostalo, 2014",899,"Klariksentie 6, Suurpelto, Espoo",48.0,2H+KK,60.18272245,24.740938791924155,2014.0,Kerrostalo,2,False
811,"Kerrostalo, 2011",850,"Asemakuja 1, Espoon keskus, Espoo",44.0,1H+KK,60.20443285,24.65972513135152,2011.0,Kerrostalo,1,False
812,"Kerrostalo, 1994",808,"Kiltakallio 13 A, Kiltakallio, Espoo",56.0,2h+k,60.2016217,24.6585669,1994.0,Kerrostalo,2,False
813,"Kerrostalo, 2014",949,"Soukanniementie 1 B, Soukka, Espoo",52.0,2h+k,60.1249414,24.6778467,2014.0,Kerrostalo,2,False
814,"Kerrostalo, 2020",1406,"Niittykatu 10 D, Niittykumpu, Espoo",69.0,3h+kt,60.1680961,24.7597099,2020.0,Kerrostalo,3,False
815,"Kerrostalo, 1991",939,"Asemakuja 3, Espoon keskus, Espoo",60.5,2H+K,60.2051065,24.6604885,1991.0,Kerrostalo,2,False
816,"Kerrostalo, 1973",699,"Aalto 4 C, Kivenlahti, Espoo",38.5,1h+k,60.1500555,24.6392372,1973.0,Kerrostalo,1,False
817,"Kerrostalo, 2013",918,"Ulappakatu 1, Espoonlahti, Espoo",44.5,2H+KT,60.1506629,24.6548474,2013.0,Kerrostalo,2,False
818,"Kerrostalo, 2020",924,"Perilänniitty 3 B, Vermonniitty, Espoo",42.0,2h+kt,60.2163582,24.8319782,2020.0,Kerrostalo,2,False
819,"Kerrostalo, 2021",740,"Peuraniitty 1 E, Sepänkylä, Espoo",32.0,1h+kt,60.204458,24.7380923,2021.0,Kerrostalo,1,False
820,"Kerrostalo, 2021",1140,"Peuraniitty 1 E, Sepänkylä, Espoo",66.0,3h+kt,60.204458,24.7380923,2021.0,Kerrostalo,3,False
821,"Kerrostalo, 1972",1230,"Aapelinkatu 6, Matinkylä, Espoo",74.5,3H+K+P,60.155522000000005,24.75177150000001,1972.0,Kerrostalo,3,False
822,"Kerrostalo, 2022",895,"Runoratsunkatu 17, Vermonniitty, Espoo",41.5,1H+KT,60.21434045,24.82954513843764,2022.0,Kerrostalo,1,False
823,"Rivitalo, 1998",1099,"Vanha Turuntie 69, Karvasmäki, Espoo",54.0,2H+K+S,60.2196994,24.6895046,1998.0,Rivitalo,2,False
824,"Kerrostalo, 2016",754,"Magneettikatu 1 A, Saunalahti, Espoo",37.5,1h+kt,60.16840905,24.61843866861156,2016.0,Kerrostalo,1,False
825,"Kerrostalo, 1998",898,"PUISTOPIHA 2 C, Kilo, Espoo",58.5,2H+K,60.216193,24.7885977,1998.0,Kerrostalo,2,False
826,"Kerrostalo, 2010",812,"Klariksentie 2, Suurpelto, Espoo",41.5,1H+KK,60.1839623,24.7409251,2010.0,Kerrostalo,1,False
827,"Kerrostalo, 2019",1110,"Kaarlo Sarkian katu 8, Vermonniitty, Espoo",55.0,3h+kt+s,60.2141427,24.833649286196646,2019.0,Kerrostalo,3,True
828,"Kerrostalo, 2019",1110,"Kaarlo Sarkian katu 8, Vermonniitty, Espoo",55.0,3h+kt+s,60.2141427,24.833649286196646,2019.0,Kerrostalo,3,True
829,"Kerrostalo, 1995",829,"Vasaramäki 4 D, Sepänkylä, Espoo",42.0,2h+kt+s,60.2046245,24.7290004,1995.0,Kerrostalo,2,True
830,"Kerrostalo, 2015",924,"NIHTITORPANKUJA 7 B, Nihtisilta, Espoo",53.0,2 H + KT + S,60.20841445,24.755624056558464,2015.0,Kerrostalo,2,False
831,"Kerrostalo, 2010",841,"Vesirattaanmäki 1 B, Vesirattaanmäki, Espoo",44.0,2h+kk+parveke,60.2270927,24.66653,2010.0,Kerrostalo,2,False
832,"Kerrostalo, 2001",875,"Leirikaari 24, Leppävaara, Espoo",40.5,2H+KT,60.21067025,24.80765360347928,2001.0,Kerrostalo,2,False
833,"Kerrostalo, 2016",886,"LIKUSTERIKATU 1 A, Suurpelto, Espoo",45.5,2 H + KT + S,60.1914676,24.7401735,2016.0,Kerrostalo,2,False
834,"Kerrostalo, 2017",915,"Puolikuu 2 D, Olari, Espoo",45.0,2H+KT+S,60.1731699,24.7276308,2017.0,Kerrostalo,2,False
