Unnamed: 0,house_type,price,address,square,object_type,price_per_square,year_of_construction,building_type,rooms,sauna,latitude,longitude
996,"Appartement, 2009",140386,"27 Rue du Président Édouard Herriot, Lyon",87.7,"3 pièces, ascenseur",1601,2009.0,Appartement,3,False,45.8182731,4.7731132
997,"Maison individuelle, 1976",658494,"17 Rue Pasteur, Lyon",51.3,"3 pièces, terrasse",12836,1976.0,Maison individuelle,3,False,45.7889018,4.7620217
998,"Résidence étudiante, 1973",441506,"25 Quai Saint-Antoine, Lyon",119.5,"4 pièces, parking",3695,1973.0,Résidence étudiante,4,False,45.7008026,4.7776093
999,"Résidence étudiante, 1997",700107,"27 Rue du Président Édouard Herriot, Lyon",114.5,5 pièces,6114,1997.0,Résidence étudiante,5,False,45.8105457,4.7709957
1000,"Résidence étudiante, 1986",723131,"4 Place Bellecour, Lyon",67.4,5 pièces,10729,1986.0,Résidence étudiante,5,False,45.8688652,4.882917
1001,"Résidence de standing, 2003",664453,"4 Place Bellecour, Lyon",114.5,"5 pièces, duplex",5803,2003.0,Résidence de standing,5,False,45.773955,4.9114743
1002,"Résidence étudiante, 2023",588605,"2 Rue Victor Hugo, Lyon",29.9,4 pièces,19686,2023.0,Résidence étudiante,4,False,45.7048755,4.9438554
1003,"Appartement, 1978",138568,"25 Quai Saint-Antoine, Lyon",40.5,2 pièces,3421,1978.0,Appartement,2,False,45.7628391,4.8773876
1004,"Studio, 1989",646011,"5 Rue Garibaldi, Lyon",60.1,"4 pièces, jardin",10749,1989.0,Studio,4,False,45.7883862,4.8731562
1005,"Maison de ville, 2004",425362,"10 Rue de la République, Lyon",103.4,"5 pièces, duplex",4114,2004.0,Maison de ville,5,False,45.8051501,4.8263671
1006,"Immeuble, 1985",262484,"25 Quai Saint-Antoine, Lyon",77.9,"3 pièces, ascenseur",3369,1985.0,Immeuble,3,False,45.7970857,4.9069088
1007,"Appartement, 1975",155882,"8 Avenue Jean Jaurès, Lyon",37.3,"2 pièces, balcon",4179,1975.0,Appartement,2,False,45.7818965,4.9268747
1008,"Maison de ville, 2020",401637,"25 Quai Saint-Antoine, Lyon",66.6,3 pièces,6031,2020.0,Maison de ville,3,False,45.7792542,4.9490754
1009,"Résidence de standing, 2014",464846,"5 Rue Garibaldi, Lyon",93.7,4 pièces,4961,2014.0,Résidence de standing,4,False,45.7007837,4.8367388
1010,"Studio, 2022",674103,"17 Rue Pasteur, Lyon",53.5,"2 pièces, balcon",12600,2022.0,Studio,2,False,45.7757058,4.9304151
1011,"Loft, 1976",695961,"25 Quai Saint-Antoine, Lyon",99.5,4 pièces,6995,1976.0,Loft,4,False,45.7036258,4.7870894
1012,"Appartement, 1981",102600,"10 Rue de la République, Lyon",81.3,2 pièces,1262,1981.0,Appartement,2,False,45.8396776,4.8339233
1013,"Loft, 1995",326181,"10 Rue de la République, Lyon",35.8,4 pièces,9111,1995.0,Loft,4,False,45.7246045,4.9226516
1014,"Maison de ville, 1993",227013,"25 Quai Saint-Antoine, Lyon",54.2,Studio,4188,1993.0,Maison de ville,3,False,45.8590717,4.8916251
1015,"Maison de ville, 2003",669761,"27 Rue du Président Édouard Herriot, Lyon",113.6,3 pièces,5896,2003.0,Maison de ville,3,False,45.783333,4.844585
1016,"Studio, 1999",395069,"10 Rue de la République, Lyon",33.9,1 pièce,11654,1999.0,Studio,1,False,45.6920651,4.7651493
1017,"Immeuble, 1970",608476,"27 Rue du Président Édouard Herriot, Lyon",81.7,"3 pièces, ascenseur",7448,1970.0,Immeuble,3,False,45.8367546,4.7893374
1018,"Résidence de standing, 1981",502564,"92 Quai Perrache, Lyon",105.5,2 pièces,4764,1981.0,Résidence de standing,2,False,45.6964277,4.9269195
1019,"Studio, 2002",365588,"2 Rue Victor Hugo, Lyon",59.5,"4 pièces, parking",6144,2002.0,Studio,4,False,45.7468548,4.7659983
1020,"Studio, 2000",512652,"5 Rue Garibaldi, Lyon",101.2,"4 pièces, jardin",5066,2000.0,Studio,4,False,45.764393,4.907104
1021,"Maison individuelle, 2016",714400,"4 Place Bellecour, Lyon",91.3,"3 pièces, ascenseur",7825,2016.0,Maison individuelle,3,False,45.7121626,4.8037779
1022,"Résidence étudiante, 2024",787053,"17 Rue Pasteur, Lyon",77.4,"3 pièces, terrasse",10169,2024.0,Résidence étudiante,3,False,45.6936805,4.8708687
1023,"Immeuble, 1987",507996,"92 Quai Perrache, Lyon",116.5,"4 pièces, parking",4360,1987.0,Immeuble,4,False,45.8355004,4.9034676
1024,"Maison individuelle, 1986",477515,"25 Quai Saint-Antoine, Lyon",70.4,"4 pièces, jardin",6783,1986.0,Maison individuelle,4,False,45.7247828,4.7582103
1025,"Maison jumelée, 1992",683683,"8 Avenue Jean Jaurès, Lyon",63.3,3 pièces,10801,1992.0,Maison jumelée,3,False,45.8417546,4.8347262
1026,"Maison de ville, 2022",336080,"4 Place Bellecour, Lyon",42.1,1 pièce,7983,2022.0,Maison de ville,1,False,45.7251984,4.797749
1027,"Penthouse, 1981",679833,"4 Place Bellecour, Lyon",69.8,5 pièces,9740,1981.0,Penthouse,5,False,45.7965474,4.9447155
1028,"Résidence étudiante, 1996",296837,"17 Rue Pasteur, Lyon",20.8,2 pièces,14271,1996.0,Résidence étudiante,2,False,45.7879529,4.9176579
1029,"Studio, 1997",594714,"5 Rue Garibaldi, Lyon",105.2,"5 pièces, duplex",5653,1997.0,Studio,5,False,45.70575,4.8808939
1030,"Immeuble, 2021",349852,"27 Rue du Président Édouard Herriot, Lyon",114.6,"2 pièces, balcon",3053,2021.0,Immeuble,2,False,45.7897627,4.8739316
1031,"Maison jumelée, 2011",502287,"4 Place Bellecour, Lyon",105.5,"3 pièces, terrasse",4761,2011.0,Maison jumelée,3,False,45.7198505,4.9197787
1032,"Appartement, 2006",108914,"25 Quai Saint-Antoine, Lyon",72.0,Studio,1513,2006.0,Appartement,3,False,45.8559141,4.8936462
1033,"Maison jumelée, 2005",749524,"25 Quai Saint-Antoine, Lyon",36.0,"3 pièces, ascenseur",20820,2005.0,Maison jumelée,3,False,45.7536936,4.937088
1034,"Résidence étudiante, 1995",565675,"13 Rue de Marseille, Lyon",82.2,"5 pièces, duplex",6882,1995.0,Résidence étudiante,5,False,45.7182054,4.7696339
1035,"Résidence de standing, 1992",408330,"5 Rue Garibaldi, Lyon",78.0,"5 pièces, duplex",5235,1992.0,Résidence de standing,5,False,45.7987418,4.7943236
1036,"Penthouse, 1974",597668,"8 Avenue Jean Jaurès, Lyon",88.5,"5 pièces, duplex",6753,1974.0,Penthouse,5,False,45.6970544,4.846996
1037,"Immeuble, 1976",523031,"8 Avenue Jean Jaurès, Lyon",80.3,"3 pièces, terrasse",6513,1976.0,Immeuble,3,False,45.7675728,4.8920855
1038,"Résidence de standing, 2024",469073,"2 Rue Victor Hugo, Lyon",77.2,3 pièces,6076,2024.0,Résidence de standing,3,False,45.7850004,4.944501
1039,"Maison individuelle, 1990",432814,"13 Rue de Marseille, Lyon",32.6,"3 pièces, ascenseur",13277,1990.0,Maison individuelle,3,False,45.7921345,4.8181901
1040,"Maison de ville, 1994",447265,"2 Rue Victor Hugo, Lyon",49.5,4 pièces,9036,1994.0,Maison de ville,4,False,45.8248381,4.8766317
1041,"Loft, 1992",216664,"13 Rue de Marseille, Lyon",73.8,Studio,2936,1992.0,Loft,3,False,45.8461143,4.8223239
1042,"Résidence étudiante, 1977",498768,"10 Rue de la République, Lyon",33.3,"4 pièces, parking",14978,1977.0,Résidence étudiante,4,False,45.8095921,4.826955
1043,"Appartement, 1992",118706,"17 Rue Pasteur, Lyon",67.2,5 pièces,1766,1992.0,Appartement,5,False,45.7696465,4.8687159
1044,"Maison de ville, 1979",426447,"13 Rue de Marseille, Lyon",44.1,3 pièces,9670,1979.0,Maison de ville,3,False,45.845837,4.8966677
1045,"Résidence de standing, 1990",565382,"13 Rue de Marseille, Lyon",43.4,1 pièce,13027,1990.0,Résidence de standing,1,False,45.8154988,4.9086111
1046,"Appartement, 2018",107734,"27 Rue du Président Édouard Herriot, Lyon",50.2,"5 pièces, duplex",2146,2018.0,Appartement,5,False,45.7828823,4.8126398
1047,"Maison de ville, 1993",521339,"2 Rue Victor Hugo, Lyon",76.7,Studio,6797,1993.0,Maison de ville,3,False,45.7353967,4.9486251
1048,"Immeuble, 2004",456836,"5 Rue Garibaldi, Lyon",100.2,"2 pièces, balcon",4559,2004.0,Immeuble,2,False,45.7446069,4.9366792
1049,"Maison de ville, 2003",412371,"5 Rue Garibaldi, Lyon",96.6,4 pièces,4269,2003.0,Maison de ville,4,False,45.8328969,4.7662836
1050,"Penthouse, 2000",732360,"13 Rue de Marseille, Lyon",20.7,"3 pièces, ascenseur",35380,2000.0,Penthouse,3,False,45.8136647,4.8638145
1051,"Résidence de standing, 2017",377432,"5 Rue Garibaldi, Lyon",50.5,"3 pièces, terrasse",7474,2017.0,Résidence de standing,3,False,45.7025325,4.8237511
1052,"Résidence étudiante, 2024",609049,"25 Quai Saint-Antoine, Lyon",99.6,Studio,6115,2024.0,Résidence étudiante,3,False,45.8288983,4.9061216
1053,"Résidence de standing, 1974",660005,"13 Rue de Marseille, Lyon",68.0,"2 pièces, balcon",9706,1974.0,Résidence de standing,2,False,45.7900448,4.9459579
1054,"Studio, 2010",224941,"27 Rue du Président Édouard Herriot, Lyon",69.5,3 pièces,3237,2010.0,Studio,3,False,45.7768819,4.7598392
1055,"Maison individuelle, 1971",408102,"27 Rue du Président Édouard Herriot, Lyon",43.0,"2 pièces, balcon",9491,1971.0,Maison individuelle,2,False,45.8249333,4.9384413
1056,"Penthouse, 1998",645746,"92 Quai Perrache, Lyon",20.3,Studio,31810,1998.0,Penthouse,2,False,45.6911198,4.8966225
1057,"Résidence étudiante, 2020",743787,"4 Place Bellecour, Lyon",21.6,"5 pièces, duplex",34435,2020.0,Résidence étudiante,5,False,45.7640562,4.8959215
1058,"Studio, 1981",384887,"17 Rue Pasteur, Lyon",115.3,4 pièces,3338,1981.0,Studio,4,False,45.8265748,4.889237
1059,"Studio, 1978",253433,"10 Rue de la République, Lyon",101.2,1 pièce,2504,1978.0,Studio,1,False,45.8640289,4.7900583
1060,"Maison jumelée, 1972",404542,"17 Rue Pasteur, Lyon",56.0,"5 pièces, duplex",7224,1972.0,Maison jumelée,5,False,45.8401833,4.9066685
1061,"Immeuble, 1994",349980,"2 Rue Victor Hugo, Lyon",110.0,1 pièce,3182,1994.0,Immeuble,1,False,45.7958247,4.9226054
1062,"Studio, 2017",350469,"4 Place Bellecour, Lyon",39.0,"3 pièces, ascenseur",8986,2017.0,Studio,3,False,45.8561946,4.8730356
1063,"Maison de ville, 2021",690463,"10 Rue de la République, Lyon",47.8,2 pièces,14445,2021.0,Maison de ville,2,False,45.7531848,4.8490098
1064,"Maison individuelle, 1974",382881,"2 Rue Victor Hugo, Lyon",68.5,2 pièces,5590,1974.0,Maison individuelle,2,False,45.6950841,4.7983222
1065,"Maison jumelée, 2002",535535,"8 Avenue Jean Jaurès, Lyon",100.6,"3 pièces, ascenseur",5323,2002.0,Maison jumelée,3,False,45.7700869,4.8443107
1066,"Maison jumelée, 1973",689576,"5 Rue Garibaldi, Lyon",109.3,5 pièces,6309,1973.0,Maison jumelée,5,False,45.784357,4.8539809
1067,"Maison de ville, 2018",626614,"92 Quai Perrache, Lyon",73.9,"5 pièces, duplex",8479,2018.0,Maison de ville,5,False,45.8010379,4.8274651
1068,"Appartement, 2002",144719,"92 Quai Perrache, Lyon",76.4,3 pièces,1894,2002.0,Appartement,3,False,45.6913904,4.9306828
1069,"Maison de ville, 2018",321122,"2 Rue Victor Hugo, Lyon",35.6,"4 pièces, jardin",9020,2018.0,Maison de ville,4,False,45.7899168,4.7951522
1070,"Résidence de standing, 1982",383004,"2 Rue Victor Hugo, Lyon",56.2,2 pièces,6815,1982.0,Résidence de standing,2,False,45.806578,4.8467635
1071,"Maison jumelée, 2001",735037,"4 Place Bellecour, Lyon",117.0,4 pièces,6282,2001.0,Maison jumelée,4,False,45.7250627,4.8284387
1072,"Maison individuelle, 2016",490384,"27 Rue du Président Édouard Herriot, Lyon",89.2,"4 pièces, jardin",5498,2016.0,Maison individuelle,4,False,45.8134961,4.8013747
1073,"Résidence de standing, 1987",309891,"17 Rue Pasteur, Lyon",103.9,2 pièces,2983,1987.0,Résidence de standing,2,False,45.7102432,4.7975881
1074,"Résidence étudiante, 1979",764774,"92 Quai Perrache, Lyon",39.1,"3 pièces, terrasse",19559,1979.0,Résidence étudiante,3,False,45.8591199,4.7923412
1075,"Maison jumelée, 2007",577319,"10 Rue de la République, Lyon",87.5,"2 pièces, balcon",6598,2007.0,Maison jumelée,2,False,45.7959177,4.7718127
1076,"Maison de ville, 1979",274735,"2 Rue Victor Hugo, Lyon",100.4,Studio,2736,1979.0,Maison de ville,2,False,45.7641026,4.7674816
1077,"Studio, 2018",627993,"27 Rue du Président Édouard Herriot, Lyon",25.5,"4 pièces, jardin",24627,2018.0,Studio,4,False,45.7678022,4.8196279
1078,"Maison de ville, 1976",385025,"13 Rue de Marseille, Lyon",84.8,5 pièces,4540,1976.0,Maison de ville,5,False,45.8634457,4.8741173
1079,"Résidence étudiante, 2017",719865,"8 Avenue Jean Jaurès, Lyon",45.3,3 pièces,15891,2017.0,Résidence étudiante,3,False,45.8259947,4.7761744
1080,"Maison de ville, 1981",573584,"27 Rue du Président Édouard Herriot, Lyon",93.4,"3 pièces, terrasse",6141,1981.0,Maison de ville,3,False,45.8619772,4.8080631
1081,"Résidence de standing, 1974",751486,"8 Avenue Jean Jaurès, Lyon",83.1,"5 pièces, duplex",9043,1974.0,Résidence de standing,5,False,45.8430996,4.8204617
1082,"Maison jumelée, 1970",736504,"17 Rue Pasteur, Lyon",33.2,"3 pièces, terrasse",22184,1970.0,Maison jumelée,3,False,45.8343222,4.9090382
1083,"Appartement, 2002",121214,"17 Rue Pasteur, Lyon",28.4,"5 pièces, duplex",4268,2002.0,Appartement,5,False,45.8342645,4.843196
1084,"Résidence de standing, 2009",441457,"2 Rue Victor Hugo, Lyon",53.3,"2 pièces, balcon",8282,2009.0,Résidence de standing,2,False,45.7280288,4.9196823
1085,"Maison individuelle, 2017",301028,"27 Rue du Président Édouard Herriot, Lyon",114.7,5 pièces,2624,2017.0,Maison individuelle,5,False,45.8383688,4.7787951
1086,"Loft, 1990",678230,"13 Rue de Marseille, Lyon",65.0,"4 pièces, jardin",10434,1990.0,Loft,4,False,45.7098124,4.8817426
1087,"Studio, 1994",411250,"13 Rue de Marseille, Lyon",52.0,"4 pièces, jardin",7909,1994.0,Studio,4,False,45.7964147,4.9329915
1088,"Immeuble, 2015",342369,"92 Quai Perrache, Lyon",33.9,1 pièce,10099,2015.0,Immeuble,1,False,45.7877308,4.8749548
1089,"Penthouse, 2002",377638,"27 Rue du Président Édouard Herriot, Lyon",89.5,"3 pièces, ascenseur",4219,2002.0,Penthouse,3,False,45.8295728,4.8486229
1090,"Résidence étudiante, 1977",722531,"25 Quai Saint-Antoine, Lyon",52.6,1 pièce,13736,1977.0,Résidence étudiante,1,False,45.7294785,4.9278329
1091,"Penthouse, 1974",745718,"25 Quai Saint-Antoine, Lyon",47.5,3 pièces,15699,1974.0,Penthouse,3,False,45.7242882,4.8284022
1092,"Studio, 1982",769793,"13 Rue de Marseille, Lyon",111.3,1 pièce,6916,1982.0,Studio,1,False,45.8464192,4.8968972
1093,"Maison individuelle, 2003",440796,"25 Quai Saint-Antoine, Lyon",65.8,"4 pièces, parking",6699,2003.0,Maison individuelle,4,False,45.739435,4.8839786
1094,"Résidence étudiante, 1980",624272,"4 Place Bellecour, Lyon",85.0,"4 pièces, parking",7344,1980.0,Résidence étudiante,4,False,45.7066487,4.940838
1095,"Immeuble, 2023",690852,"92 Quai Perrache, Lyon",37.3,2 pièces,18522,2023.0,Immeuble,2,False,45.8671933,4.9132763
1096,"Penthouse, 2003",354019,"25 Quai Saint-Antoine, Lyon",109.9,5 pièces,3221,2003.0,Penthouse,5,False,45.8301411,4.8734079
1097,"Maison individuelle, 1992",744215,"10 Rue de la République, Lyon",100.0,2 pièces,7442,1992.0,Maison individuelle,2,False,45.8537769,4.8673377
1098,"Immeuble, 2006",663475,"13 Rue de Marseille, Lyon",57.0,1 pièce,11640,2006.0,Immeuble,1,False,45.7485187,4.7725038
1099,"Loft, 1979",703214,"10 Rue de la République, Lyon",92.5,"5 pièces, duplex",7602,1979.0,Loft,5,False,45.7099371,4.8170111
1100,"Appartement, 1978",135752,"17 Rue Pasteur, Lyon",105.5,"3 pièces, terrasse",1287,1978.0,Appartement,3,False,45.7983927,4.8418767
1101,"Maison jumelée, 1994",551221,"27 Rue du Président Édouard Herriot, Lyon",30.7,1 pièce,17955,1994.0,Maison jumelée,1,False,45.7031509,4.9237486
1102,"Maison individuelle, 2007",740807,"5 Rue Garibaldi, Lyon",36.6,"2 pièces, balcon",20241,2007.0,Maison individuelle,2,False,45.7948207,4.8154448
1103,"Maison jumelée, 1991",790697,"4 Place Bellecour, Lyon",45.3,"3 pièces, ascenseur",17455,1991.0,Maison jumelée,3,False,45.7941756,4.8963309
1104,"Studio, 1998",386408,"8 Avenue Jean Jaurès, Lyon",36.8,2 pièces,10500,1998.0,Studio,2,False,45.8636322,4.8777558
1105,"Penthouse, 2004",694441,"10 Rue de la République, Lyon",74.1,"4 pièces, parking",9372,2004.0,Penthouse,4,False,45.739967,4.8515257
1106,"Maison individuelle, 1970",280281,"27 Rue du Président Édouard Herriot, Lyon",18.9,"5 pièces, duplex",14830,1970.0,Maison individuelle,5,False,45.8376535,4.9418738
1107,"Loft, 1980",328876,"25 Quai Saint-Antoine, Lyon",113.3,2 pièces,2903,1980.0,Loft,2,False,45.7660587,4.855635
1108,"Penthouse, 1973",364769,"17 Rue Pasteur, Lyon",86.0,4 pièces,4242,1973.0,Penthouse,4,False,45.7044763,4.8533936
1109,"Immeuble, 2022",399744,"27 Rue du Président Édouard Herriot, Lyon",24.1,"5 pièces, duplex",16587,2022.0,Immeuble,5,False,45.7693533,4.9111166
1110,"Loft, 1972",563482,"5 Rue Garibaldi, Lyon",117.8,4 pièces,4783,1972.0,Loft,4,False,45.8054579,4.9168364
1111,"Appartement, 1999",139433,"25 Quai Saint-Antoine, Lyon",99.4,2 pièces,1403,1999.0,Appartement,2,False,45.8002856,4.9184663
1112,"Résidence étudiante, 2014",668658,"17 Rue Pasteur, Lyon",56.6,3 pièces,11814,2014.0,Résidence étudiante,3,False,45.7090956,4.8864094
1113,"Résidence de standing, 1988",621731,"92 Quai Perrache, Lyon",30.0,5 pièces,20724,1988.0,Résidence de standing,5,False,45.6965504,4.8697602
1114,"Maison de ville, 1982",665020,"27 Rue du Président Édouard Herriot, Lyon",104.7,2 pièces,6352,1982.0,Maison de ville,2,False,45.8555905,4.9295935
1115,"Maison jumelée, 2018",624415,"25 Quai Saint-Antoine, Lyon",89.1,5 pièces,7008,2018.0,Maison jumelée,5,False,45.6944203,4.936246
1116,"Penthouse, 1989",433213,"92 Quai Perrache, Lyon",74.5,"2 pièces, balcon",5815,1989.0,Penthouse,2,False,45.7294842,4.7898394
1117,"Maison individuelle, 1995",755477,"4 Place Bellecour, Lyon",85.3,Studio,8857,1995.0,Maison individuelle,1,False,45.7702341,4.7564096
1118,"Appartement, 1970",113429,"10 Rue de la République, Lyon",23.8,1 pièce,4766,1970.0,Appartement,1,False,45.8255373,4.7914103
1119,"Appartement, 1994",114168,"5 Rue Garibaldi, Lyon",56.4,4 pièces,2024,1994.0,Appartement,4,False,45.6906854,4.9058876
1120,"Maison jumelée, 2010",706381,"27 Rue du Président Édouard Herriot, Lyon",30.3,2 pièces,23313,2010.0,Maison jumelée,2,False,45.8283564,4.917939
1121,"Résidence de standing, 1979",753448,"92 Quai Perrache, Lyon",119.2,"5 pièces, duplex",6321,1979.0,Résidence de standing,5,False,45.8049109,4.9487419
1122,"Résidence étudiante, 2006",305967,"2 Rue Victor Hugo, Lyon",68.8,Studio,4447,2006.0,Résidence étudiante,2,False,45.7780182,4.8973479
1123,"Maison individuelle, 1988",549238,"27 Rue du Président Édouard Herriot, Lyon",93.3,1 pièce,5887,1988.0,Maison individuelle,1,False,45.7310797,4.7563332
1124,"Résidence de standing, 1994",462463,"13 Rue de Marseille, Lyon",90.0,"3 pièces, terrasse",5138,1994.0,Résidence de standing,3,False,45.7602921,4.8332529
1125,"Résidence de standing, 2011",387631,"25 Quai Saint-Antoine, Lyon",76.1,Studio,5094,2011.0,Résidence de standing,2,False,45.7257505,4.8539188
1126,"Maison jumelée, 1974",694158,"92 Quai Perrache, Lyon",29.4,"4 pièces, jardin",23611,1974.0,Maison jumelée,4,False,45.7143618,4.7546004
1127,"Résidence de standing, 1977",491943,"2 Rue Victor Hugo, Lyon",113.4,Studio,4338,1977.0,Résidence de standing,3,False,45.8457147,4.8299445
1128,"Immeuble, 2024",485769,"92 Quai Perrache, Lyon",86.9,"4 pièces, parking",5590,2024.0,Immeuble,4,False,45.6910382,4.7727023
1129,"Maison jumelée, 1991",330948,"2 Rue Victor Hugo, Lyon",24.1,"2 pièces, balcon",13732,1991.0,Maison jumelée,2,False,45.7450076,4.7827709
1130,"Maison de ville, 2023",489689,"92 Quai Perrache, Lyon",64.6,3 pièces,7580,2023.0,Maison de ville,3,False,45.7977366,4.9153133
1131,"Penthouse, 1984",223066,"5 Rue Garibaldi, Lyon",56.4,4 pièces,3955,1984.0,Penthouse,4,False,45.7347627,4.9030414
1132,"Maison individuelle, 2022",320067,"92 Quai Perrache, Lyon",103.6,"3 pièces, ascenseur",3089,2022.0,Maison individuelle,3,False,45.8619823,4.8088354
1133,"Penthouse, 1995",358121,"2 Rue Victor Hugo, Lyon",82.6,2 pièces,4336,1995.0,Penthouse,2,False,45.8056739,4.8040951
1134,"Maison jumelée, 2000",287445,"27 Rue du Président Édouard Herriot, Lyon",27.4,"3 pièces, ascenseur",10491,2000.0,Maison jumelée,3,False,45.735137,4.7943012
1135,"Maison de ville, 2014",323309,"4 Place Bellecour, Lyon",99.2,"5 pièces, duplex",3259,2014.0,Maison de ville,5,False,45.8223679,4.9042517
1136,"Maison de ville, 2002",474789,"10 Rue de la République, Lyon",38.9,"3 pièces, terrasse",12205,2002.0,Maison de ville,3,False,45.8030121,4.8562632
1137,"Studio, 1999",672971,"8 Avenue Jean Jaurès, Lyon",44.6,"3 pièces, ascenseur",15089,1999.0,Studio,3,False,45.838514,4.9220932
1138,"Maison individuelle, 2002",526161,"27 Rue du Président Édouard Herriot, Lyon",72.5,"4 pièces, parking",7257,2002.0,Maison individuelle,4,False,45.8206471,4.7560454
1139,"Immeuble, 1991",522091,"10 Rue de la République, Lyon",104.6,1 pièce,4991,1991.0,Immeuble,1,False,45.7704517,4.8342068
1140,"Appartement, 1986",106357,"8 Avenue Jean Jaurès, Lyon",89.4,"3 pièces, terrasse",1190,1986.0,Appartement,3,False,45.7871868,4.8342554
1141,"Maison jumelée, 1971",419095,"27 Rue du Président Édouard Herriot, Lyon",68.0,5 pièces,6163,1971.0,Maison jumelée,5,False,45.7756666,4.8252999
1142,"Appartement, 2000",118645,"10 Rue de la République, Lyon",27.6,"4 pièces, jardin",4299,2000.0,Appartement,4,False,45.7179586,4.85124
1143,"Penthouse, 1996",579666,"25 Quai Saint-Antoine, Lyon",55.5,1 pièce,10444,1996.0,Penthouse,1,False,45.7189457,4.9260391
1144,"Maison jumelée, 1979",287858,"8 Avenue Jean Jaurès, Lyon",45.6,"5 pièces, duplex",6313,1979.0,Maison jumelée,5,False,45.7531845,4.8001084
1145,"Loft, 2010",519681,"4 Place Bellecour, Lyon",88.7,"4 pièces, parking",5859,2010.0,Loft,4,False,45.7606717,4.8735692
1146,"Maison jumelée, 1985",615770,"92 Quai Perrache, Lyon",59.7,2 pièces,10314,1985.0,Maison jumelée,2,False,45.8193766,4.8942542
1147,"Maison jumelée, 2014",525844,"8 Avenue Jean Jaurès, Lyon",57.3,1 pièce,9177,2014.0,Maison jumelée,1,False,45.7038935,4.93428
1148,"Penthouse, 1990",531526,"2 Rue Victor Hugo, Lyon",42.0,"4 pièces, jardin",12655,1990.0,Penthouse,4,False,45.8674123,4.7678141
1149,"Maison jumelée, 1972",366436,"10 Rue de la République, Lyon",107.9,1 pièce,3396,1972.0,Maison jumelée,1,False,45.7476096,4.8996262
1150,"Appartement, 1972",143969,"27 Rue du Président Édouard Herriot, Lyon",49.3,"3 pièces, terrasse",2920,1972.0,Appartement,3,False,45.7246564,4.7627397
1151,"Maison individuelle, 1989",508262,"8 Avenue Jean Jaurès, Lyon",95.4,"3 pièces, terrasse",5328,1989.0,Maison individuelle,3,False,45.7601397,4.7653178
1152,"Immeuble, 2015",535371,"2 Rue Victor Hugo, Lyon",88.1,4 pièces,6077,2015.0,Immeuble,4,False,45.7438006,4.9277022
1153,"Maison de ville, 1976",367185,"8 Avenue Jean Jaurès, Lyon",56.3,4 pièces,6522,1976.0,Maison de ville,4,False,45.7908328,4.8447706
1154,"Résidence étudiante, 1975",296653,"10 Rue de la République, Lyon",95.5,"5 pièces, duplex",3106,1975.0,Résidence étudiante,5,False,45.7504794,4.8824658
1155,"Maison jumelée, 1997",682100,"4 Place Bellecour, Lyon",99.2,Studio,6876,1997.0,Maison jumelée,2,False,45.8190549,4.847465
1156,"Immeuble, 1991",255675,"5 Rue Garibaldi, Lyon",106.9,"3 pièces, terrasse",2392,1991.0,Immeuble,3,False,45.7983492,4.7878623
1157,"Immeuble, 2002",753429,"17 Rue Pasteur, Lyon",57.2,4 pièces,13172,2002.0,Immeuble,4,False,45.7274902,4.8693156
1158,"Appartement, 2013",108168,"5 Rue Garibaldi, Lyon",19.1,5 pièces,5663,2013.0,Appartement,5,False,45.8658125,4.8648694
1159,"Maison individuelle, 1985",235633,"2 Rue Victor Hugo, Lyon",102.0,"3 pièces, ascenseur",2310,1985.0,Maison individuelle,3,False,45.787435,4.8595904
1160,"Penthouse, 2002",364802,"10 Rue de la République, Lyon",18.4,"4 pièces, jardin",19826,2002.0,Penthouse,4,False,45.8307633,4.8158839
1161,"Appartement, 1997",145856,"13 Rue de Marseille, Lyon",32.0,5 pièces,4558,1997.0,Appartement,5,False,45.8681619,4.7730015
1162,"Résidence de standing, 1978",439368,"5 Rue Garibaldi, Lyon",70.5,"2 pièces, balcon",6232,1978.0,Résidence de standing,2,False,45.6939985,4.8551554
1163,"Maison de ville, 1977",560135,"13 Rue de Marseille, Lyon",105.7,2 pièces,5299,1977.0,Maison de ville,2,False,45.8542436,4.8185562
1164,"Résidence étudiante, 2002",493929,"10 Rue de la République, Lyon",43.5,4 pièces,11355,2002.0,Résidence étudiante,4,False,45.8086551,4.9466062
1165,"Résidence étudiante, 1987",490539,"2 Rue Victor Hugo, Lyon",99.8,"2 pièces, balcon",4915,1987.0,Résidence étudiante,2,False,45.7653012,4.8364931
1166,"Maison individuelle, 1990",266937,"27 Rue du Président Édouard Herriot, Lyon",75.3,"5 pièces, duplex",3545,1990.0,Maison individuelle,5,False,45.7079752,4.9191623
1167,"Immeuble, 1996",780991,"27 Rue du Président Édouard Herriot, Lyon",53.0,3 pièces,14736,1996.0,Immeuble,3,False,45.8695647,4.8478044
1168,"Penthouse, 1988",482566,"5 Rue Garibaldi, Lyon",57.8,"2 pièces, balcon",8349,1988.0,Penthouse,2,False,45.761115,4.7896782
1169,"Penthouse, 2000",287641,"10 Rue de la République, Lyon",76.0,"4 pièces, parking",3785,2000.0,Penthouse,4,False,45.8586596,4.9416656
1170,"Appartement, 1991",153534,"25 Quai Saint-Antoine, Lyon",111.5,"3 pièces, terrasse",1377,1991.0,Appartement,3,False,45.7111982,4.8581515
